sub,motion_jdac
sub-RC4121,2.982991933822632
sub-RC4207,2.914605140686035
sub-RC4117,2.645393133163452
sub-RC4212,2.600672721862793
sub-RC4109,2.6410858631134038
sub-RC4204,2.8359410762786865
sub-RC4219,2.7477471828460693
sub-RC4220,1.697539448738098
sub-RC4129,2.5490875244140625
sub-RC4210,3.0248003005981445
sub-RC4107,2.818101406097412
sub-RC4206,2.98488187789917
sub-RC4130,2.858332872390747
sub-RC4118,2.532212495803833
sub-RC4116,3.0448415279388428
sub-RC4111,2.940056324005127
sub-RC4110,3.138812065124512
sub-RC4115,2.6722590923309326
sub-RC4225,3.425949811935425
sub-RC4122,2.75042986869812
sub-RC4114,3.3409831523895264
sub-RC4112,3.392061233520508
sub-RC4227,3.2050132751464844
sub-RC4120,3.110882520675659
sub-RC4217,3.374729871749878
